num_episodes,run,J_opt_sigma,J_opt,J_sigma,J,loss,weights,diff_weights,diff_pi,k
10,5,[[-23.52969154]],[[-23.63818024]],[[-65.33593373]],[[-65.16335406]],4.682555599008094,"[1.229891839413244e-16, 0.2899488282497241, 0.0, 0.7100511717502758]",0.7111740823331975,1.6618368054276003,[-0.762364   -1.64534555 -0.0228504  -0.24280191]
20,5,[[-23.52969154]],[[-23.63818024]],[[-63.93185058]],[[-63.88132206]],6.9944049989542645,"[0.0, 0.4338310715518344, 5.023771286339296e-16, 0.5661689284481655]",0.5952655864469569,1.6637069339527863,[-0.76021996 -1.67226374 -0.02902384 -0.32271877]
50,5,[[-23.52969154]],[[-23.63818024]],[[-30.41380732]],[[-31.64355204]],3.4810168797420276,"[9.622294280808852e-17, 0.48087475399326574, 0.11544622735425225, 0.403679018652482]",0.47915314205586873,0.5754755631047478,[-0.33921713 -0.38709607 -0.11738507 -0.57594203]
100,5,[[-23.52969154]],[[-23.63818024]],[[-23.84765618]],[[-23.76456108]],0.12690593359441116,"[0.266465420085325, 0.38912900946693924, 0.18286541203900186, 0.16154015840873395]",0.12908513869826638,0.12437392084246375,[-0.65982715 -0.08530777 -0.09591292 -0.73767728]
200,5,[[-23.52969154]],[[-23.63818024]],[[-23.74244925]],[[-23.65917726]],0.002429851872849845,"[0.2719434192763546, 0.4082206355670249, 0.14929889007719602, 0.17053705507942454]",0.11995136056842588,0.09153778423198025,[-0.6964532  -0.09328418 -0.08231034 -0.73498247]
500,5,[[-23.52969154]],[[-23.63818024]],[[-30.90680077]],[[-31.6454078]],5.797654254517173,"[0.0, 0.6550264619161481, 0.13829495376034834, 0.20667858432350378]",0.475276726030065,0.5294036024664217,[-0.26943712 -0.2095487  -0.14341526 -0.75437095]
1000,5,[[-23.52969154]],[[-23.63818024]],[[-31.84003792]],[[-32.84244901]],1.7422133756976161,"[0.0, 0.7453584392698902, 0.01728114451877983, 0.2373604162113299]",0.5495621789168139,0.7202084628284835,[-0.54113155 -0.74258794 -0.08189932 -0.65681402]
2,6,[[-23.52969154]],[[-23.63818024]],[[-49.49478252]],[[-48.89508211]],24.179810326744914,"[0.0, 0.0, 0.6424806114840568, 0.3575193885159584]",0.7765960657238411,0.841724352703663,[-0.14444491 -0.11333546 -0.20121168 -0.23459277]
5,6,[[-23.52969154]],[[-23.63818024]],[[-24.24554658]],[[-24.18704903]],0.6048201483552806,"[0.9764000100543793, 0.023599989949110462, 0.0, 8.928113580540975e-12]",0.7186194675591113,0.21120415510103763,[-0.98132832 -0.04241441 -0.04241441 -0.79443686]
10,6,[[-23.52969154]],[[-23.63818024]],[[-28.59018912]],[[-29.19301144]],2.389424913465966,"[0.880644166247011, 0.0, 0.11295870272387765, 0.0063971310292244765]",0.6407126159424565,0.5577189579412973,[-0.776742   -0.07934027 -0.59495631 -0.5817537 ]
