num_episodes,run,J_opt_sigma,J_opt,J_sigma,J,loss,weights,diff_weights,diff_pi,k
5,1,[[-23.52969154]],[[-23.63818024]],[[-40.93118495]],[[-41.3544896]],143.82996601274635,"[0.7856828519298558, 0.0, 0.21431717099002326, 0.0]",0.5769644372947963,1.0935729713557865,[-0.60711584 -0.05126675 -1.15000134 -0.7048495 ]
10,1,[[-23.52969154]],[[-23.63818024]],[[-44.7964792]],[[-45.14098547]],15.91972100006475,"[0.7452610421858664, 1.0150450409531072e-12, 0.25473895781373024, 0.0]",0.5569339606581696,1.212416252609731,[-0.56222815 -0.04773612 -1.26376112 -0.71595094]
20,1,[[-23.52969154]],[[-23.63818024]],[[-39.78963348]],[[-40.83555891]],9.05087987506398,"[0.5599771982816693, 0.0, 0.423239524996968, 0.016783281030624514]",0.5248802114950133,1.0134125315824738,[-0.48786218 -0.06342826 -1.02599943 -0.59054083]
50,1,[[-23.52969154]],[[-23.63818024]],[[-34.89295056]],[[-35.09818326]],34.97282156857161,"[0.815836528016052, 0.00337152191630476, 0.18079195006764667, 0.0]",0.5926063717581863,0.8789214733297515,[-0.66605876 -0.04938149 -0.94215905 -0.72271683]
100,1,[[-23.52969154]],[[-23.63818024]],[[-23.75319011]],[[-23.65078003]],0.016416609418032017,"[0.465671923064896, 0.23869289254996284, 0.22626187245450324, 0.06937331193063792]",0.20037295329520047,0.10396512554062236,[-0.70388046 -0.04784627 -0.14241877 -0.78838296]
200,1,[[-23.52969154]],[[-23.63818024]],[[-31.81075055]],[[-32.44820878]],2.4625098805580423,"[0.0, 0.6461174591874711, 0.16082326426240334, 0.19305927655012575]",0.4690895949210668,0.5429428065296666,[-0.24830272 -0.17745343 -0.14928239 -0.7674684 ]
500,1,[[-23.52969154]],[[-23.63818024]],[[-23.73599654]],[[-23.63952022]],1.0802668035771863,"[0.4557968517574403, 0.2429595615195594, 0.22167070643240366, 0.07957288029059668]",0.18807354235844345,0.09668235649918558,[-0.70501746 -0.05237499 -0.13546234 -0.77320732]
1000,1,[[-23.52969154]],[[-23.63818024]],[[-23.93620529]],[[-23.84804287]],1.2278929747689764,"[0.5855664057855406, 0.2774884811404029, 0.039039376635997325, 0.0979057364380591]",0.2489378144092182,0.15238695785663597,[-0.9211695  -0.07074229 -0.03214989 -0.75709527]
2,2,[[-23.52969154]],[[-23.63818024]],[[-32.87263805]],[[-33.32271987]],206.15976612667015,"[0.8680294277931959, 0.0, 0.1319705722134366, 2.526300349470212e-12]",0.6319625032756591,0.7869989082414627,[-0.71667562 -0.05989626 -0.85035056 -0.6760413 ]
5,2,[[-23.52969154]],[[-23.63818024]],[[-51.30760307]],[[-51.55579313]],15.013992117428787,"[0.6694058149247288, 0.0, 0.3305941850887545, 0.0]",0.5340353478973117,1.390163442165716,[-0.48950313 -0.04202684 -1.43140988 -0.73267626]
10,2,[[-23.52969154]],[[-23.63818024]],[[-44.86303605]],[[-44.96652349]],111.13699755850192,"[0.7456617466638621, 7.641947877490931e-12, 0.25433825334348226, 0.0]",0.5571072735228974,1.2113273185393751,[-0.56264972 -0.04776926 -1.2627243  -0.71584908]
20,2,[[-23.52969154]],[[-23.63818024]],[[-27.41984308]],[[-27.73681446]],45.58458059460636,"[0.9319114514284503, 0.0, 0.06808854862628311, 0.0]",0.6853023260062716,0.48273505220314994,[-0.82490888 -0.06842744 -0.53433996 -0.64593057]
50,2,[[-23.52969154]],[[-23.63818024]],[[-28.2167354]],[[-28.55978973]],112.90221668882852,"[0.9212667685928525, 0.0, 0.07873323274270408, 0.0]",0.6758683275766943,0.5367155826684541,[-0.80507793 -0.06686433 -0.5933088  -0.65154242]
100,2,[[-23.52969154]],[[-23.63818024]],[[-32.20403035]],[[-32.97172157]],31.958903136262983,"[0.8092366019978174, 0.0, 0.18291983950578558, 0.007843558543423322]",0.5884443610892666,0.7482607503767571,[-0.6882915  -0.07336955 -0.79325221 -0.59627886]
200,2,[[-23.52969154]],[[-23.63818024]],[[-24.31960366]],[[-24.21774364]],3.8946625872022684,"[0.6758717406567271, 0.21656946836322402, 0.0, 0.10755879101526283]",0.3627026791345352,0.2300165478414881,[-0.98409845 -0.08291859 -0.00705337 -0.70494029]
500,2,[[-23.52969154]],[[-23.63818024]],[[-24.23987634]],[[-24.12483271]],18.390351337932344,"[0.4948659966391835, 0.367139144763474, 0.0, 0.13799485859982874]",0.17384912005927414,0.2175214888456337,[-0.97928491 -0.09406074 -0.00635568 -0.74569556]
1000,2,[[-23.52969154]],[[-23.63818024]],[[-24.45452889]],[[-24.45263628]],31.30471721840045,"[0.7959785457945263, 0.043156170092548886, 0.14212341370412088, 0.01874187040880393]",0.54674241180653,0.22224906295999422,[-0.80534188 -0.05373978 -0.28443102 -0.72050731]
2,3,[[-23.52969154]],[[-23.63818024]],[[-24.37965753]],[[-24.16421611]],70.49171299931483,"[0.6696523286968373, 0.15429139721632756, 0.17605627408690744, 0.0]",0.39212756250081093,0.22474980519477733,[-0.77605784 -0.01116162 -0.20766891 -0.9436768 ]
5,3,[[-23.52969154]],[[-23.63818024]],[[-36.5355432]],[[-36.94684242]],55.04674101934567,"[0.8308554821003606, 0.0, 0.16914451904587108, 0.0]",0.6049817841247317,0.9370859935159798,[-0.66376212 -0.05572698 -0.99831837 -0.69021261]
10,3,[[-23.52969154]],[[-23.63818024]],[[-41.77020351]],[[-41.6962482]],69.43829688889969,"[2.9857614116396817e-15, 0.43386058222911494, 0.44957050324685, 0.11656891452403212]",0.4995064192986559,0.6538189642684364,[-0.13262931 -0.0516481  -0.18753374 -0.80393001]
20,3,[[-23.52969154]],[[-23.63818024]],[[-26.1184053]],[[-25.92157018]],130.6794017164318,"[0.8337889389423081, 0.0289323050291063, 0.13727875644218757, 0.0]",0.5882396687218935,0.3960113849225182,[-0.78158351 -0.03135544 -0.46179908 -0.83108444]
50,3,[[-23.52969154]],[[-23.63818024]],[[-28.10963655]],[[-28.87614886]],40.32790688608708,"[0.8500562948886947, 0.0, 0.1341754744277802, 0.015768230683640867]",0.6150766229278525,0.5185136655965571,[-0.77322126 -0.09259792 -0.51809338 -0.51184883]
100,3,[[-23.52969154]],[[-23.63818024]],[[-41.90745064]],[[-41.79561451]],19.90597565180247,"[7.87399677098005e-15, 0.34928034470027614, 0.5002939923064375, 0.1504256629932785]",0.5317692598004164,0.6553327849891163,[-0.13147688 -0.0595792  -0.18951398 -0.741676  ]
200,3,[[-23.52969154]],[[-23.63818024]],[[-24.1225011]],[[-24.0598566]],0.6500023710186552,"[0.6473544003799802, 0.09156137609217765, 0.22667824440057455, 0.034405979127267755]",0.416004945801574,0.18896886656107664,[-0.73226213 -0.04740128 -0.25264282 -0.75064932]
500,3,[[-23.52969154]],[[-23.63818024]],[[-23.68480593]],[[-23.60613275]],0.37882666209712473,"[0.5765842762809428, 0.18912285172331877, 0.1587429673519418, 0.07554990464379675]",0.28066071059490066,0.056808477493759266,[-0.78650156 -0.05872243 -0.11582709 -0.74361604]
